,NAME,URL
0,bitcoin,https://coinmarketcap.com/currencies/bitcoin/
1,ethereum,https://coinmarketcap.com/currencies/ethereum/
2,tether,https://coinmarketcap.com/currencies/tether/
3,bnb,https://coinmarketcap.com/currencies/bnb/
4,usd-coin,https://coinmarketcap.com/currencies/usd-coin/
5,xrp,https://coinmarketcap.com/currencies/xrp/
6,cardano,https://coinmarketcap.com/currencies/cardano/
7,polygon,https://coinmarketcap.com/currencies/polygon/
8,dogecoin,https://coinmarketcap.com/currencies/dogecoin/
9,solana,https://coinmarketcap.com/currencies/solana/
10,binance-usd,https://coinmarketcap.com/currencies/binance-usd/
11,polkadot-new,https://coinmarketcap.com/currencies/polkadot-new/
12,shiba-inu,https://coinmarketcap.com/currencies/shiba-inu/
13,tron,https://coinmarketcap.com/currencies/tron/
14,litecoin,https://coinmarketcap.com/currencies/litecoin/
15,avalanche,https://coinmarketcap.com/currencies/avalanche/
16,multi-collateral-dai,https://coinmarketcap.com/currencies/multi-collateral-dai/
17,uniswap,https://coinmarketcap.com/currencies/uniswap/
18,wrapped-bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/
19,chainlink,https://coinmarketcap.com/currencies/chainlink/
20,cosmos,https://coinmarketcap.com/currencies/cosmos/
21,unus-sed-leo,https://coinmarketcap.com/currencies/unus-sed-leo/
22,ethereum-classic,https://coinmarketcap.com/currencies/ethereum-classic/
23,toncoin,https://coinmarketcap.com/currencies/toncoin/
24,okb,https://coinmarketcap.com/currencies/okb/
25,monero,https://coinmarketcap.com/currencies/monero/
26,bitcoin-cash,https://coinmarketcap.com/currencies/bitcoin-cash/
27,filecoin,https://coinmarketcap.com/currencies/filecoin/
28,stellar,https://coinmarketcap.com/currencies/stellar/
29,aptos,https://coinmarketcap.com/currencies/aptos/
30,lido-dao,https://coinmarketcap.com/currencies/lido-dao/
31,trueusd,https://coinmarketcap.com/currencies/trueusd/
32,hedera,https://coinmarketcap.com/currencies/hedera/
33,near-protocol,https://coinmarketcap.com/currencies/near-protocol/
34,cronos,https://coinmarketcap.com/currencies/cronos/
35,vechain,https://coinmarketcap.com/currencies/vechain/
36,internet-computer,https://coinmarketcap.com/currencies/internet-computer/
37,apecoin-ape,https://coinmarketcap.com/currencies/apecoin-ape/
38,quant,https://coinmarketcap.com/currencies/quant/
39,algorand,https://coinmarketcap.com/currencies/algorand/
40,stacks,https://coinmarketcap.com/currencies/stacks/
41,the-graph,https://coinmarketcap.com/currencies/the-graph/
42,fantom,https://coinmarketcap.com/currencies/fantom/
43,immutable-x,https://coinmarketcap.com/currencies/immutable-x/
44,eos,https://coinmarketcap.com/currencies/eos/
45,decentraland,https://coinmarketcap.com/currencies/decentraland/
46,bitdao,https://coinmarketcap.com/currencies/bitdao/
47,tezos,https://coinmarketcap.com/currencies/tezos/
48,aave,https://coinmarketcap.com/currencies/aave/
49,multiversx-egld,https://coinmarketcap.com/currencies/multiversx-egld/
50,flow,https://coinmarketcap.com/currencies/flow/
51,theta-network,https://coinmarketcap.com/currencies/theta-network/
52,axie-infinity,https://coinmarketcap.com/currencies/axie-infinity/
53,the-sandbox,https://coinmarketcap.com/currencies/the-sandbox/
54,conflux-network,https://coinmarketcap.com/currencies/conflux-network/
55,kucoin-token,https://coinmarketcap.com/currencies/kucoin-token/
